utility_to_osm - WARNING - ssr:stedsnr = 217389 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270435 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270439 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270449 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270356 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270358 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270364 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270368 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270519 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 229484 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 229938 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 230092 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 230810 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 241908. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 243604 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452006 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243888 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243891 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244049 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244087 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244089 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244090 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244237 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244240 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244243 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244405 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244427 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244436 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452037 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452045 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244185 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244186 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244338 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244380 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244391 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244393 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452055 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244899 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244975 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244979 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452261 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452351 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452384 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452390 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245908 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452438 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270007 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270021 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270433 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270488 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270495 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270501 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270380 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270383 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 460084 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 460241 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 460540 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 282776. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 302878: No priority spelling found for lang = no, using alt_name to get "[('no', 'Fjøddvegen')]"
utility_to_osm - ERROR - ssr:stedsnr = 302878. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 304174 has multiple (2) positions, using the first one!
