utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3007/3007-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 167860 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 174008: No priority spelling found for lang = no, using alt_name to get "[('no', 'Ringkollsetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 175878 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 181955. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 186286 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186179 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187028: No priority spelling found for lang = no, using alt_name to get "[('no', 'Stigsrud')]"
utility_to_osm - WARNING - ssr:stedsnr = 188417 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188424 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188478: No priority spelling found for lang = no, using alt_name to get "[('no', 'Bårnåssetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 188482 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188508 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188672 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188880 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188881 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188937 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188943 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188959 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188966 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188967 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188968 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 189503 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 189505 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 189609 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 189819 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 189926 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 265950: No priority spelling found for lang = no, using alt_name to get "[('no', 'Strømsodd')]"
utility_to_osm - ERROR - ssr:stedsnr = 267150. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267164. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 268698. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267554. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267579. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267650. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267662. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267666. No positions found, skipping
