utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3821/3821-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 487797 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487876: No priority spelling found for lang = no, using alt_name to get "[('no', 'Fisketjønnåsen')]"
utility_to_osm - WARNING - ssr:stedsnr = 487876 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487878 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487829 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487832 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487841 has multiple (14) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487842 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 414694 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487940 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487946 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488147 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488150 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488026 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488072 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488076 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 416975. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 488219 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488233 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488535 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488373 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488392 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488474 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488476 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488613 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488674 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427102 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427090 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427174 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427303 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427386 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427389 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427472 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427487 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427622 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427711 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427716 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427726 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427768 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427773 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427668 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427873 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427874 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427876 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427906 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427969 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 428473 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 670942 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 670943 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 670962 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 475808 has multiple (2) positions, using the first one!
