utility_to_osm - WARNING - ssr:stedsnr = 271091 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271110 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271147 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271251 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271263 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271199 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271201 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271297 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271345 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271414 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 226401. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 227488 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 227993 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 228793 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 228995: Adding multiple names to name tag, this is not OK! name = "Domkirken;Kristiansand domkirke"
utility_to_osm - WARNING - ssr:stedsnr = 449401 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 449831 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 449856 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 449860 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 450329 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 242496 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453289 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243500 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243609 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243597 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243743 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243835 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243984 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453083 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453139 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453098 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453100 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453101 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453176 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453178 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453153 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453326 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453340 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453361 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 264310 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 264349 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 264999 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 266398 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267005 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267009 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267899 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267906 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271204 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271206 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271158 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271187 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271303 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271308 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271315 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271323 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271436 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271478 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271483 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271502 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 459192 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 281184 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 281490 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 281824 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 461233 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 288134 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 289228 has multiple (2) positions, using the first one!
