utility_to_osm - WARNING - ssr:stedsnr = 251647 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251653 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251656 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251665 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251670 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251674 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251676 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251677 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251679 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251737 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251716 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251720 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251729 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251748 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251758 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251770 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252579 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252580 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251839 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251955 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251915 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251926 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251990 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251991 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251998 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251966 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251978 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251980 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128037 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128040 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128141 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128903 has multiple (3) positions, using the first one!
